URL_PAGINA_ORIGEN;URL_DESTINO_INVALIDA;DESTINO_ACTIVO
https://buenosaires.gob.ar/tramites/solicitud-de-reserva-de-turno-para-matrimonios-en-lugares-emblematicos;https://buenosaires.gob.ar/biblioteca-ricardo-guiraldes;Enlace no existe en página
https://buenosaires.gob.ar/tramites/gestion-privada-fechas-de-simulacro-del-plan-de-evacuacion;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/221806;Enlace funciona
https://buenosaires.gob.ar/tramites/gestion-privada-fechas-de-simulacro-del-plan-de-evacuacion;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/94985;Enlace funciona
https://buenosaires.gob.ar/tramites/dispositivos-publicitarios;https://buenosaires.gob.ar/tramites/inscripcion-al-registro-unico-de-postulantes-para-el-otorgamiento-de-permisos-de-uso;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/dispositivos-publicitarios;https://buenosaires.gob.ar/tramites/permiso-de-uso-precario-en-mercado-de-pulgas;Enlace roto - Error 404
https://buenosaires.gob.ar/tramites/dispositivos-publicitarios;https://buenosaires.gob.ar/tramites/permiso-de-uso-precario-en-paseos-comerciales-once;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/asesoramiento-juridico;https://www.buenosaires.gob.ar/desarrolloeconomico/trabajo/negociaciones-laborales/asesoramiento-juridico;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/ampliacion-de-licencia-de-conducir;https://ash.buenosaires.gob.ar/tramites/vtv;Ignorado (ash)
https://buenosaires.gob.ar/tramites/solicitud-de-autorizacion-para-trabajo-artistico-para-menores-de-16-anos;https://www.buenosaires.gob.ar/gobierno/trabajo/trabajo-infantil-artistico;Enlace funciona
https://buenosaires.gob.ar/tramites/renovacion-por-cambio-de-datos-de-licencia-de-conducir;https://ash.buenosaires.gob.ar/node/59359;Ignorado (ash)
https://buenosaires.gob.ar/tramites/impuesto-inmobiliario-exencion-abl-inmueble-sala-teatral-no-prof-ley-156;https://ash.buenosaires.gob.ar/proteatro/registro/salasteatrales;Ignorado (ash)
https://buenosaires.gob.ar/tramites/programa-ciudadania-portena;https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/ciudadaniaportena/ciudadania-portena-con-todo-derecho;Enlace roto - Error 404
https://buenosaires.gob.ar/tramites/programa-ciudadania-portena;https://ash.buenosaires.gob.ar/tramites/certificado-de-discapacidad;Ignorado (ash)
https://buenosaires.gob.ar/tramites/registro-de-plano-de-obra-civil-registro-en-etapa-proyecto;https://www.buenosaires.gob.ar/tramites/permiso-de-obra;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/adicion-al-requisito-acreditacion-de-identidad-en-el-tramite-para-certificado-de;https://ash.buenosaires.gob.ar/tramites/certificado-de-residencia-precaria;Ignorado (ash)
https://buenosaires.gob.ar/tramites/otorgamiento-de-permisos-de-venta-de-alimentos-en-el-espacio-publico;https://buenosaires.gob.ar/justiciayseguridad/agencia-gubernamental-de-control;Enlace no existe en página
https://buenosaires.gob.ar/tramites/permiso-de-vehiculos-gastronomicos-en-el-espacio-publico-foodtrucks;https://ash.buenosaires.gob.ar/agc/direcciongeneralhigieneyseguridadalimentaria;Ignorado (ash)
https://buenosaires.gob.ar/tramites/permiso-de-vehiculos-gastronomicos-en-el-espacio-publico-foodtrucks;http://www2.cedom.gob.ar/es/legislacion/normas/leyes/ley5707.html;Enlace no existe en página
https://buenosaires.gob.ar/tramites/programa-practicas-de-formacion-para-el-empleo;https://buenosaires.gob.ar/tramites/registro-de-empleadores;Enlace funciona
https://buenosaires.gob.ar/tramites/certificacion-de-ausencia-de-gluten-en-alimentos;https://buenosaires.gob.ar/gobierno/atencion-ciudadana/tramites;Enlace no existe en página
https://buenosaires.gob.ar/tramites/inscripcion-en-el-registro-de-entidades-miembros-del-consejo-de-planeamiento-estrategico;https://ash.buenosaires.gob.ar/cope;Ignorado (ash)
https://buenosaires.gob.ar/tramites/renovacion-del-registro-unico-aspirante-guarda-con-fines-adoptivos-ruaga;https://ash.buenosaires.gob.ar/registrocivil;Ignorado (ash)
https://buenosaires.gob.ar/tramites/seguridad-en-establecimientos-de-salud-privados;http://www.buenosaires.gov.ar/areas/seguridad_justicia/seguridad_urbana/sistema_unico_denuncias/index.php?menu_id=14105;"Enlace roto - Error: HTTPSConnectionPool(host='www.buenosaires.gov.ar', port=443): Max retries exceeded with url: /areas/seguridad_justicia/seguridad_urbana/sistema_unico_denuncias/index.php?menu_id=14105 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.buenosaires.gov.ar'. (_ssl.c:1000)"")))"
https://buenosaires.gob.ar/tramites/solicitud-de-devolucion-de-pagos;https://buenosaires.gob.ar/noticias/la-ciudad-ofrece-24-islas-digitales-en-sedes-comunales-para-ayudar-los-vecinos-resolver;Enlace no existe en página
