Name;URLs_encontradas;URL_Invalida
Qué necesito | Curso de Manipulación de Alimentos;['https://www.buenosaires.gob.ar/sites/gcaba/files/tramites/autorizacion_de_inscripcion_para_menores_de_edad.pdf'];['https://www.buenosaires.gob.ar/sites/gcaba/files/tramites/autorizacion_de_inscripcion_para_menores_de_edad.pdf']
TU03CUX09 Museo;['https://planetario.buenosaires.gob.ar/museo'];['https://planetario.buenosaires.gob.ar/museo']
AGC02CUX01 Presencial;['https://www.buenosaires.gob.ar/sites/gcaba/files/tramites/formulario_declaracion_jurada_de_las_empresas_conservadoras.pdf'];['https://www.buenosaires.gob.ar/sites/gcaba/files/tramites/formulario_declaracion_jurada_de_las_empresas_conservadoras.pdf']
Qué necesito para registrar un gimnasio;['http://www.buenosaires.gob.ar/tramites/registro-de-gimnasiosinscripcion-renovacion'];['http://www.buenosaires.gob.ar/tramites/registro-de-gimnasiosinscripcion-renovacion']
Qué necesito para Registro de bares;['http://www.buenosaires.gob.ar/tramites/registro-de-bares-inscripcion-renovacion'];['http://www.buenosaires.gob.ar/tramites/registro-de-bares-inscripcion-renovacion']
EM04CUX02 Ver requisitos mujeres emprendedoras;['https://bancociudad.com.ar/cms/archivo/institucional/menu/PYMES/Prestamos/Ciudad_Mujeres_Emprendedoras/solapasPersonalizadas/INSTRUCTIVOS/archivos/25.Ciudad%20Mujeres%20Emprendedoras.pdf'];['https://bancociudad.com.ar/cms/archivo/institucional/menu/PYMES/Prestamos/Ciudad_Mujeres_Emprendedoras/solapasPersonalizadas/INSTRUCTIVOS/archivos/25.Ciudad%20Mujeres%20Emprendedoras.pdf']
EM04CUX02 Cómo me inscribo mujeres emprendedoras;['https://www.bancociudad.com.ar/institucional/encuesta/Ciudad_Mujeres_Emprendedoras'];['https://www.bancociudad.com.ar/institucional/encuesta/Ciudad_Mujeres_Emprendedoras']
EDU05CUX01 Banco Ciudad;['https://estudioenbuenosaires.com.ar/home'];['https://estudioenbuenosaires.com.ar/home']
CU02CUX02 Entradas;['https://teatrocolon.org.ar/es/temporada?field_season_tags_target_id%5B95%5D=95'];['https://teatrocolon.org.ar/es/temporada?field_season_tags_target_id%5B95%5D=95']
CU02CUX02 Medios de pago;['https://teatrocolon.org.ar/es/boleteria/politicas-y-pautas'];['https://teatrocolon.org.ar/es/boleteria/politicas-y-pautas']
DDHH03CUX02 Talleres de apoyo;['https://www.buenosaires.gob.ar/cdnnya/apoyo-las-familias-adoptivas'];['https://www.buenosaires.gob.ar/cdnnya/apoyo-las-familias-adoptivas']
DDHH03CUX02 Registrarme en RUAGA;['https://www.buenosaires.gob.ar/cdnnya/adopcion/cuales-son-los-pasos-para-la-inscripcion'];['https://www.buenosaires.gob.ar/cdnnya/adopcion/cuales-son-los-pasos-para-la-inscripcion']
DDHH03CUX02 Convocatorias adopción;['https://www.buenosaires.gob.ar/cdnnya/adopcion/convocatorias-publicas'];['https://www.buenosaires.gob.ar/cdnnya/adopcion/convocatorias-publicas']
SE01CUX06 Denuncia anónima ;['https://www.fiscalias.gob.ar/en-linea/'];['https://www.fiscalias.gob.ar/en-linea/']
SE01CUX06 Accesibilidad;['https://www.fiscalias.gob.ar/denuncia-accesible/'];['https://www.fiscalias.gob.ar/denuncia-accesible/']
Cómo hago el pedido - Información pública;['https://suaci-gcba.buenosaires.gob.ar/suaci/contactoPrestacion?codigoPrestacion=1468525201056', 'https://mapa.buenosaires.gob.ar/comollego/?lat=-34.607985&lng=-58.373975&zl=15&modo=transporte&dir=Rivadavia+Av.+524', 'https://mapa.buenosaires.gob.ar/comollego/?lat=-34.640326&lng=-58.407019&zl=15&modo=transporte&dir=Uspallata+3160', 'https://mapa.buenosaires.gob.ar/comollego/?lat=-34.628900&lng=-58.369954&zl=15&modo=transporte&dir=Garcia%2C+Martin+Av.+346', 'https://www.buenosaires.gob.ar/sites/gcaba/files/formulario_solicitud_aip_2019.pdf'];['https://www.buenosaires.gob.ar/sites/gcaba/files/formulario_solicitud_aip_2019.pdf']
TR03CUX17 Instalación contra incendios;['https://www.buenosaires.gob.ar/tramites/viejos/instalacion-contra-incendios'];['https://www.buenosaires.gob.ar/tramites/viejos/instalacion-contra-incendios']
TR03CUX17 Habilitaciones de agencias de remises;['https://www.buenosaires.gob.ar/Denuncia'];['https://www.buenosaires.gob.ar/Denuncia']
